"","SEQN","RIAGENDR","RIDAGEYR","RIDRETH1","DMDBORN","DMDCITZN","DMDEDUC3","DMDMARTL","DMDFMSIZ","INDFMINC"
"3836",34962,"male",54,"Other Race - Including Multi-Racial","The US","A citizen of the US",20,"Married",2,11
"3840",34966,"male",25,"Mexican American","Mexico","Not a citizen of the US",16,"Married",1,4
"3848",34974,"male",64,"Mexican American","Mexico","A citizen of the US",17,"Married",2,5
"3849",34975,"male",63,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,10
"3851",34977,"female",23,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",4,6
"3859",34985,"female",30,"Mexican American","The US","A citizen of the US",18,"Living with partner",3,6
"3860",34986,"male",22,"Mexican American","Mexico","Not a citizen of the US",18,"Married",3,2
"3861",34987,"male",25,"Mexican American","Mexico","Not a citizen of the US",19,"Never married",1,3
"3862",34988,"female",71,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",1,2
"3864",34990,"male",34,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",1,7
"3867",34993,"male",36,"Non-Hispanic Black","The US","A citizen of the US",18,"Living with partner",1,6
"3868",34994,"female",65,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Married",3,2
"3869",34995,"female",60,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,8
"3870",34996,"male",50,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",4,6
"3871",34997,"male",78,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,4
"3872",34998,"female",31,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,10
"3873",34999,"male",25,"Mexican American","Mexico","Not a citizen of the US",17,"Married",6,5
"3875",35001,"female",33,"Mexican American","Mexico","Not a citizen of the US",18,"Married",4,3
"3876",35002,"female",24,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,6
"3878",35004,"male",69,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,7
"3881",35007,"female",46,"Mexican American","Mexico","Not a citizen of the US",16,"Married",5,3
"3883",35009,"female",25,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,8
"3884",35010,"female",38,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,9
"3886",35012,"male",54,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",3,4
"3887",35013,"female",55,"Other Hispanic","Elsewhere","A citizen of the US",17,"Married",3,5
"3889",35015,"female",28,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,7
"3891",35017,"male",56,"Mexican American","Mexico","Not a citizen of the US",16,"Married",3,9
"3892",35018,"female",66,"Non-Hispanic Black","The US","A citizen of the US",17,"Separeted",1,3
"3895",35021,"male",34,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",1,10
"3896",35022,"female",29,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,11
"3897",35023,"male",48,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",3,5
"3901",35027,"female",25,"Other Hispanic","Elsewhere","Not a citizen of the US",19,"Married",4,8
"3903",35029,"female",45,"Non-Hispanic White","Elsewhere","A citizen of the US",20,"Divorced",2,4
"3905",35031,"female",46,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",2,4
"3906",35032,"female",73,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,1
"3909",35035,"male",49,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",6,8
"3912",35038,"female",37,"Non-Hispanic White","Elsewhere","A citizen of the US",20,"Married",4,11
"3915",35041,"female",76,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",1,4
"3916",35042,"female",23,"Non-Hispanic White","The US","A citizen of the US",17,"Living with partner",1,6
"3919",35045,"female",24,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,7
"3921",35047,"female",36,"Mexican American","Mexico","Not a citizen of the US",17,"Married",3,4
"3922",35048,"female",31,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",20,"Married",2,11
"3924",35050,"male",55,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Separeted",5,6
"3925",35051,"female",25,"Mexican American","Mexico","Not a citizen of the US",19,"Married",6,8
"3927",35053,"female",80,"Non-Hispanic White","The US","A citizen of the US",20,"Widowed",1,8
"3929",35055,"female",46,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",3,7
"3930",35056,"female",35,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",4,3
"3932",35058,"female",32,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,11
"3935",35061,"male",71,"Non-Hispanic White","The US","A citizen of the US",20,"Living with partner",1,10
"3936",35062,"male",46,"Non-Hispanic Black","The US","A citizen of the US",17,"Living with partner",7,7
"3937",35063,"male",46,"Non-Hispanic White","The US","A citizen of the US",19,"Married",6,6
"3940",35066,"male",66,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,9
"3941",35067,"male",54,"Other Race - Including Multi-Racial","The US","A citizen of the US",19,"Divorced",1,7
"3945",35071,"female",64,"Non-Hispanic White","Elsewhere","A citizen of the US",16,"Widowed",3,10
"3950",35076,"male",29,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",1,7
"3951",35077,"female",50,"Non-Hispanic White","The US","A citizen of the US",18,"Separeted",1,3
"3952",35078,"female",47,"Non-Hispanic Black","The US","A citizen of the US",17,"Living with partner",7,7
"3953",35079,"female",84,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",3,9
"3954",35080,"male",52,"Non-Hispanic White","The US","A citizen of the US",18,"Living with partner",1,11
"3955",35081,"male",49,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"3956",35082,"male",23,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Living with partner",5,7
"3959",35085,"female",32,"Non-Hispanic White","Elsewhere","A citizen of the US",20,"Married",3,11
"3961",35087,"female",60,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,6
"3965",35091,"female",36,"Other Race - Including Multi-Racial","Elsewhere","Not a citizen of the US",20,"Married",4,10
"3966",35092,"female",72,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,5
"3968",35094,"male",62,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",20,"Married",3,8
"3971",35097,"female",32,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",18,"Married",3,6
"3973",35099,"male",80,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",1,3
"3974",35100,"female",60,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",16,"Never married",3,6
"3976",35102,"female",23,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",3,7
"3982",35108,"male",31,"Non-Hispanic White","The US","A citizen of the US",18,"Married",5,10
"3986",35112,"female",20,"Other Hispanic","The US","A citizen of the US",18,"Never married",6,6
"3987",35113,"female",21,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",4,6
"3990",35116,"female",85,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",3,11
"3991",35117,"female",53,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,11
"3993",35119,"female",46,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,8
"3994",35120,"male",76,"Non-Hispanic Black","The US","A citizen of the US",16,"Separeted",1,4
"3995",35121,"male",73,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,7
"3996",35122,"female",70,"Non-Hispanic White","Elsewhere","A citizen of the US",18,"Widowed",2,6
"3998",35124,"female",25,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,11
"3999",35125,"female",69,"Non-Hispanic Black","The US","A citizen of the US",18,"Separeted",1,2
"4000",35126,"male",28,"Mexican American","Mexico","Not a citizen of the US",16,"Married",1,3
"4001",35127,"female",29,"Non-Hispanic Black","Elsewhere","A citizen of the US",19,"Never married",4,5
"4002",35128,"male",48,"Mexican American","The US","A citizen of the US",19,"Married",5,10
"4005",35131,"male",47,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",20,"Married",4,11
"4006",35132,"female",85,"Non-Hispanic Black","The US","A citizen of the US",20,"Widowed",1,6
"4007",35133,"female",51,"Non-Hispanic White","Elsewhere","A citizen of the US",19,"Divorced",2,8
"4008",35134,"male",21,"Other Hispanic","The US","A citizen of the US",19,"Never married",3,2
"4009",35135,"male",33,"Non-Hispanic White","The US","A citizen of the US",18,"Married",4,6
"4012",35138,"female",29,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",3,8
"4016",35142,"male",81,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,6
"4017",35143,"male",71,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,9
"4018",35144,"male",66,"Mexican American","Mexico","Not a citizen of the US",16,"Married",3,3
"4020",35146,"female",85,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",2,6
"4023",35149,"female",29,"Non-Hispanic White","Elsewhere","A citizen of the US",18,"Married",3,9
"4024",35150,"male",27,"Non-Hispanic White","The US","A citizen of the US",19,"Separeted",1,10
"4025",35151,"female",81,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",2,6
"4028",35154,"female",23,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",6,5
"4029",35155,"female",41,"Non-Hispanic Black","The US","A citizen of the US",20,"Never married",1,9
"4030",35156,"female",85,"Non-Hispanic Black","The US","A citizen of the US",16,"Widowed",2,2
"4031",35157,"male",46,"Non-Hispanic Black","The US","A citizen of the US",20,"Never married",1,1
"4033",35159,"female",25,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",19,"Living with partner",2,7
"4035",35161,"female",62,"Mexican American","Mexico","Not a citizen of the US",16,"Married",6,5
"4036",35162,"female",25,"Non-Hispanic White","The US","A citizen of the US",17,"Never married",3,7
"4037",35163,"male",36,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",2,11
"4039",35165,"female",85,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",1,3
"4040",35166,"female",42,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",2,6
"4045",35171,"male",44,"Non-Hispanic White","The US","A citizen of the US",20,"Living with partner",1,11
"4046",35172,"female",35,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,9
"4048",35174,"male",29,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,8
"4049",35175,"female",85,"Non-Hispanic White","The US","A citizen of the US",20,"Widowed",3,7
"4052",35178,"male",69,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",2,10
"4054",35180,"female",33,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",5,11
"4055",35181,"female",66,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,6
"4057",35183,"female",28,"Non-Hispanic White","The US","A citizen of the US",18,"Separeted",1,3
"4058",35184,"female",21,"Mexican American","Mexico","Not a citizen of the US",18,"Married",7,7
"4059",35185,"male",81,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",4,8
"4060",35186,"male",45,"Non-Hispanic White","The US","A citizen of the US",18,"Married",4,10
"4062",35188,"male",33,"Non-Hispanic Black","The US","A citizen of the US",18,"Divorced",5,4
"4064",35190,"male",54,"Non-Hispanic White","The US","A citizen of the US",20,"Living with partner",2,8
"4065",35191,"female",30,"Mexican American","The US","A citizen of the US",19,"Married",7,11
"4069",35195,"male",59,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",4,8
"4072",35198,"female",61,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",18,"Married",2,11
"4076",35202,"female",48,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",19,"Married",3,6
"4077",35203,"female",72,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,6
"4079",35205,"female",32,"Mexican American","Mexico","Not a citizen of the US",16,"Married",2,3
"4080",35206,"male",68,"Non-Hispanic White","The US","A citizen of the US",16,"Married",3,7
"4082",35208,"male",56,"Non-Hispanic White","Elsewhere","Not a citizen of the US",18,"Married",2,8
"4085",35211,"male",40,"Mexican American","Mexico","A citizen of the US",19,"Living with partner",7,11
"4087",35213,"male",42,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,8
"4088",35214,"male",50,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,2
"4089",35215,"female",52,"Non-Hispanic Black","The US","A citizen of the US",16,"Divorced",5,10
"4090",35216,"female",71,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",1,4
"4092",35218,"female",37,"Other Race - Including Multi-Racial","The US","A citizen of the US",19,"Never married",1,10
"4093",35219,"female",30,"Non-Hispanic Black","The US","A citizen of the US",20,"Living with partner",1,11
"4094",35220,"male",41,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,11
"4095",35221,"female",61,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,5
"4096",35222,"male",24,"Mexican American","Elsewhere","A citizen of the US",19,"Married",3,8
"4098",35224,"female",20,"Other Race - Including Multi-Racial","The US","A citizen of the US",19,"Never married",1,1
"4099",35225,"male",48,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",5,11
"4102",35228,"male",36,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,10
"4106",35232,"female",67,"Mexican American","The US","A citizen of the US",18,"Married",2,6
"4107",35233,"male",47,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",4,11
"4108",35234,"female",80,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",1,7
"4111",35237,"male",67,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,2
"4112",35238,"female",51,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,11
"4115",35241,"female",30,"Mexican American","Mexico","Not a citizen of the US",17,"Never married",3,2
"4119",35245,"male",67,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",20,"Married",3,9
"4121",35247,"female",34,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,8
"4122",35248,"male",37,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",5,11
"4123",35249,"female",83,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,6
"4129",35255,"female",45,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",3,6
"4131",35257,"female",21,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",2,3
"4134",35260,"female",74,"Non-Hispanic White","The US","A citizen of the US",16,"Married",2,4
"4135",35261,"female",24,"Non-Hispanic White","The US","A citizen of the US",17,"Separeted",6,2
"4137",35263,"female",27,"Non-Hispanic Black","The US","A citizen of the US",17,"Living with partner",4,6
"4139",35265,"female",33,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,11
"4140",35266,"male",34,"Other Hispanic","Elsewhere","A citizen of the US",20,"Married",4,10
"4142",35268,"male",39,"Other Hispanic","Elsewhere","Not a citizen of the US",18,"Never married",1,6
"4147",35273,"male",79,"Non-Hispanic White","The US","A citizen of the US",16,"Married",2,5
"4152",35278,"female",29,"Mexican American","Mexico","Not a citizen of the US",18,"Married",4,10
"4154",35280,"male",23,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",2,6
"4158",35284,"male",54,"Non-Hispanic Black","The US","A citizen of the US",16,"Never married",1,2
"4161",35287,"female",45,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,6
"4164",35290,"male",52,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,3
"4166",35292,"female",20,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",1,1
"4171",35297,"female",28,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,6
"4172",35298,"female",52,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,6
"4173",35299,"male",48,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",3,8
"4175",35301,"female",80,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",1,7
"4176",35302,"male",24,"Mexican American","Mexico","Not a citizen of the US",16,"Married",4,7
"4179",35305,"male",39,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",3,4
"4182",35308,"female",22,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,6
"4185",35311,"female",72,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,5
"4186",35312,"male",52,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",2,5
"4187",35313,"female",76,"Other Race - Including Multi-Racial","The US","A citizen of the US",16,"Widowed",1,5
"4189",35315,"female",60,"Non-Hispanic White","The US","A citizen of the US",20,"Divorced",2,6
"4192",35318,"female",32,"Other Hispanic","Elsewhere","A citizen of the US",20,"Married",3,8
"4195",35321,"female",29,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,11
"4196",35322,"male",28,"Mexican American","Mexico","Not a citizen of the US",18,"Living with partner",5,5
"4198",35324,"male",76,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,4
"4199",35325,"female",35,"Mexican American","Mexico","Not a citizen of the US",17,"Married",7,8
"4200",35326,"female",50,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,11
"4202",35328,"female",23,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",2,7
"4203",35329,"male",55,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,11
"4204",35330,"male",21,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",1,6
"4205",35331,"male",34,"Non-Hispanic White","The US","A citizen of the US",17,"Married",4,11
"4211",35337,"male",41,"Mexican American","Mexico","Not a citizen of the US",16,"Married",3,4
"4213",35339,"female",41,"Mexican American","Mexico","A citizen of the US",18,"Living with partner",5,6
"4215",35341,"female",81,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"4216",35342,"male",30,"Mexican American","Mexico","Not a citizen of the US",18,"Never married",1,7
"4217",35343,"female",36,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",20,"Married",2,8
"4218",35344,"female",31,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",3,4
"4219",35345,"male",48,"Mexican American","Mexico","A citizen of the US",19,"Never married",2,9
"4222",35348,"male",30,"Non-Hispanic White","The US","A citizen of the US",17,"Living with partner",1,4
"4223",35349,"female",63,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,11
"4226",35352,"female",85,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",1,2
"4227",35353,"male",73,"Non-Hispanic White","The US","A citizen of the US",20,"Divorced",1,3
"4236",35362,"male",69,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,5
"4238",35364,"male",26,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",4,4
"4241",35367,"male",57,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,11
"4246",35372,"male",38,"Non-Hispanic White","The US","A citizen of the US",19,"Married",1,11
"4248",35374,"male",72,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,8
"4249",35375,"female",65,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,5
"4250",35376,"female",28,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,11
"4251",35377,"female",22,"Non-Hispanic White","The US","A citizen of the US",18,"Living with partner",1,5
"4255",35381,"male",22,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",1,2
"4258",35384,"female",71,"Mexican American","Mexico","Not a citizen of the US",16,"Widowed",3,7
"4264",35390,"female",21,"Non-Hispanic White","The US","A citizen of the US",17,"Married",5,11
"4265",35391,"male",28,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Never married",4,7
"4266",35392,"male",64,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,7
"4269",35395,"male",30,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,11
"4270",35396,"female",83,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"4271",35397,"female",49,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",2,7
"4273",35399,"male",31,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,10
"4276",35402,"female",36,"Mexican American","Mexico","Not a citizen of the US",17,"Married",6,6
"4277",35403,"female",35,"Non-Hispanic White","Elsewhere","A citizen of the US",20,"Married",3,11
"4281",35407,"male",67,"Non-Hispanic Black","The US","A citizen of the US",17,"Widowed",3,4
"4282",35408,"male",66,"Non-Hispanic White","The US","A citizen of the US",17,"Never married",1,2
"4284",35410,"male",42,"Other Hispanic","Elsewhere","A citizen of the US",19,"Living with partner",5,7
"4286",35412,"male",34,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,10
"4287",35413,"male",63,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,8
"4288",35414,"female",42,"Other Race - Including Multi-Racial","The US","A citizen of the US",20,"Separeted",4,6
"4290",35416,"male",63,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"4292",35418,"female",29,"Mexican American","Mexico","Not a citizen of the US",17,"Married",4,4
"4294",35420,"male",64,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,5
"4297",35423,"male",21,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,3
"4298",35424,"female",50,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",1,10
"4304",35430,"female",66,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,6
"4306",35432,"male",84,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,11
"4308",35434,"male",71,"Non-Hispanic Black","The US","A citizen of the US",17,"Divorced",1,5
"4309",35435,"male",29,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,11
"4311",35437,"female",66,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,6
"4312",35438,"male",25,"Other Hispanic","The US","A citizen of the US",20,"Never married",5,6
"4313",35439,"female",78,"Non-Hispanic Black","The US","A citizen of the US",18,"Divorced",1,3
"4315",35441,"male",20,"Non-Hispanic Black","The US","A citizen of the US",17,"Living with partner",6,11
"4316",35442,"male",41,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",1,5
"4318",35444,"male",80,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,6
"4319",35445,"female",25,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",3,5
"4327",35453,"female",35,"Mexican American","Mexico","Not a citizen of the US",16,"Married",4,6
"4328",35454,"female",26,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,8
"4329",35455,"female",53,"Non-Hispanic Black","The US","A citizen of the US",20,"Separeted",5,5
"4330",35456,"female",30,"Mexican American","Mexico","Not a citizen of the US",17,"Married",4,6
"4331",35457,"female",23,"Mexican American","The US","A citizen of the US",20,"Never married",1,2
"4332",35458,"male",23,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,5
"4338",35464,"male",28,"Non-Hispanic Black","The US","A citizen of the US",17,"Separeted",6,4
"4339",35465,"male",70,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,9
"4340",35466,"female",25,"Mexican American","Mexico","Not a citizen of the US",16,"Married",4,6
"4343",35469,"male",45,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,11
"4347",35473,"male",49,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",1,2
"4356",35482,"male",40,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",3,11
"4359",35485,"female",85,"Non-Hispanic White","The US","A citizen of the US",16,"Widowed",1,5
"4360",35486,"male",36,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,6
"4362",35488,"male",43,"Non-Hispanic White","The US","A citizen of the US",17,"Never married",1,6
"4363",35489,"male",27,"Mexican American","Mexico","Not a citizen of the US",16,"Never married",2,3
"4364",35490,"female",35,"Mexican American","The US","A citizen of the US",20,"Married",2,11
"4367",35493,"male",69,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,8
"4369",35495,"female",76,"Mexican American","Mexico","Not a citizen of the US",16,"Widowed",5,6
"4371",35497,"male",24,"Non-Hispanic White","The US","A citizen of the US",17,"Married",3,6
"4374",35500,"female",39,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,10
"4375",35501,"female",54,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"4376",35502,"female",82,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",5,11
"4378",35504,"female",22,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",2,6
"4379",35505,"male",30,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,6
"4380",35506,"male",38,"Mexican American","The US","A citizen of the US",18,"Married",6,11
"4381",35507,"female",85,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",3,10
"4383",35509,"male",43,"Mexican American","Mexico","Not a citizen of the US",18,"Living with partner",1,7
"4384",35510,"female",37,"Non-Hispanic Black","The US","A citizen of the US",17,"Living with partner",3,7
"4387",35513,"female",26,"Other Hispanic","The US","A citizen of the US",19,"Married",2,11
"4389",35515,"male",58,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",2,8
"4392",35518,"female",35,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,8
"4395",35521,"male",25,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",6,8
"4396",35522,"female",85,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",1,3
"4399",35525,"male",43,"Other Race - Including Multi-Racial","The US","A citizen of the US",18,"Divorced",1,3
"4402",35528,"male",71,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",1,2
"4403",35529,"male",50,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,11
"4404",35530,"female",44,"Other Hispanic","Elsewhere","A citizen of the US",18,"Married",5,8
"4405",35531,"male",40,"Non-Hispanic White","The US","A citizen of the US",18,"Living with partner",3,5
"4409",35535,"female",85,"Non-Hispanic White","The US","A citizen of the US",20,"Widowed",1,3
"4411",35537,"female",53,"Non-Hispanic White","The US","A citizen of the US",20,"Divorced",1,11
"4413",35539,"female",27,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",2,1
"4415",35541,"female",25,"Non-Hispanic Black","The US","A citizen of the US",18,"Living with partner",1,4
"4417",35543,"female",54,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",3,9
"4418",35544,"male",27,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"4419",35545,"female",24,"Mexican American","The US","A citizen of the US",19,"Never married",7,11
"4422",35548,"female",24,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",1,3
"4423",35549,"female",70,"Mexican American","The US","A citizen of the US",18,"Widowed",1,4
"4424",35550,"male",24,"Mexican American","Mexico","Not a citizen of the US",18,"Living with partner",3,3
"4425",35551,"female",80,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",7,6
"4426",35552,"female",23,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,4
"4428",35554,"male",20,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",4,11
"4432",35558,"female",84,"Other Hispanic","Elsewhere","A citizen of the US",16,"Married",2,3
"4433",35559,"female",62,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",1,2
"4435",35561,"female",61,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"4438",35564,"female",66,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",6,6
"4441",35567,"male",47,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",2,7
"4443",35569,"male",85,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,8
"4445",35571,"female",22,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",4,11
"4446",35572,"male",40,"Non-Hispanic White","Elsewhere","A citizen of the US",18,"Married",4,11
"4447",35573,"female",63,"Mexican American","Mexico","Not a citizen of the US",16,"Widowed",2,3
"4449",35575,"female",33,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",4,3
"4451",35577,"female",38,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",2,9
"4452",35578,"male",68,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,6
"4453",35579,"male",61,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,5
